Filename,Transcription
Audio_100.wav,잠시 통화 가능하십니까 본인 이름으로 명의도용 피해 사건에서 연루가 되어 있어서 여기까지 확인차 전화 드렸고요 42세 남성 김경식 알고 계십니까 왜냐하면 저희가 김기현 식으로 인한 금융공사 지단을 지금 공부를 한 건데 건과 현장에서 지금 명의로 지금 농협은행과 지금 하나은행 통장이 불법 통장으로 사용되고 있던 걸 저희가 지금 압수를 했는데 지금 본인께서이 두 교장 결정에 대해서 아시는 내용이 있으십니까 제조를 해봤는데요 확실히 본인 명의로 확인했어요 오늘 저희가 분위기 앞으로 연락드린 것도이 두 계좌가 이제 본인께서 직접 개설하신 통장이 신지요 본인이 개인정보가 유출되어 명의 내용을 당하신 피해자의 신지 그 부분을 조사하라고 지금 연락을 드렸고요 그리고 이번 사건 자체가 본인뿐만 아니라 전국에 지금 넘는데 이제 어떤 분들은 지금 소환 조사를 받으셨구요 많이 계시거나 개인적인 이유로 저희 검사 검찰청에 출석할 수 없는 분들을 위해서 저희가 이제 개인정보 치는 신고 센터를 개설했는데 이점 참고해 주시고요 일단 본인께서 피해자인지 가해자인지 조사
Audio_104.wav,물건을 보내 주지 않는 방식의 사기혐의거든요 그래서 이제 통장 자체를 판매 인출 용도로 사용을 했기 때문에 문제가 되는 부분인데 제 3의 자가 발생이 된 부분이고 구매자 분들께서 안으로 본인 앞으로 배상 청구를 하고 있는 고소 고발 건이네 일단 저희가 1월 7일에 이제 본인 명의 통장에 개설했는데 3월 중순까지 거래가 된 사실을 확인했고요 발생이 된 부분이기 때문에 본인께서 만약에 피해자라고 하시면은 사람도 몰랐고 이제 해당 지점에 방문하신 적도 없다라고 말씀을 해 주셨는데 본인이 피해자 납부는 본인이 피해자라는 거 이제 입점을 충분하게 해 주셔야 되고 정말 못 하셨을 때 자연스럽게 이제 가해자로 분류가 됨으로써 본인 명의로 이루어진 통장에 대한 배상권 대해서는 본인에게도 이제 배선형 책임이 부여가 되세요 지금 농협이랑 어디 은행이라고 신한은행 가서 확인을 하면 확인 가능한 건가요 충분히 가능하시고요 되게 말씀드릴 부분인데 일단 사건 현장에서 통장에 실제로 발견된 증거 자료이기 때문에 저희가 동결 처리 시켰어요 동결 처리가 어떤 의미인지는 혹시 알고 계신가요 아니요 그 일단 종결 처리라고 하는 건 어떤 의미냐면 저희가 수산 입장에서 봤을 때 몇 시 같은 경우에 지금 조사자의 참고해 내신 분이세요 어떤 거리면 아직 피해자인지 가해자인지 이제 구분 명확하지 않다는 뜻이고요 매달 가능성도 안전하게 배제를 하고 있지 않아요 지금 그렇기 때문에 제가 1년에 수사과 정도를 말씀을 드렸을 때 혹시 본인께서 해당 기사를 뭐 이제 해제를 하시거나 안에 들어 있는 자금 자체를 안전한 계좌로 옮기는 방식의 증거 자체를 은미 혹은 운명 하시려는 시도를 하실 수 있기 때문에요 개인적으로 해당 계좌에 대해서 조회 이체 해지 이런 것들을 하실 수 없도록 저희가 막아 놨다는 걸 의미하구요네 이제 방금 해당 은행에 가서 이제 확인 가능하다고 제가 말씀드렸는데 일단 동결 처리가 된 부분이기 때문에 혼자 가시면 확인이 불가능하구요 검찰 조사가 진행 중이기 때문에 해당 지구대에서 경찰관을 한 분 대동을 하시고 영업 정보를 해 주셔야 되세요 아까 아 여기 서울중앙지검에 첨단범죄수사 1팀에서 근무하는 이정환 수사관입니다 지금 제가 살고 있는 관한 친구들이 경찰서에 가서 겸손하게 일을 하고 가서 확인해 볼게요네 알겠습니다 그리고 나서 그 다음에 저희 쪽으로 연락 주세요 그 오른쪽으로 확인 가능하시죠네 알겠습니다 일단 저희가 일단 그렇게만 하시니까 저희가 그렇게 방법을 말씀을 드린 거고요 유선으로 녹취 질문을 드리려고 전화를 드린 거예요 일단 일차적으로 이제 얼마나 연관성이 있으신 분인지 판단을 해야 되기 때문에 본인께서 이제 계좌 확인을 하기 위해서 그 방법으로 제가 말씀을 드린 거고요 일단은 지금 유선을 통한 지금 그 유선 통화 자체 부용을 하시는 거잖아요 그렇기 때문에 저희가 이제 자택 주소 주민등록상 주소지로 출석 연구소를 한 번 보내 드릴 거예요네 그러면 이제 추석 연구소 받아 보시면은 저희 해당 직원으로 직접 출석하여 가지고 대면 조사 받으시면 되는 부분이 돼요네 그렇게 진행이 도와드릴게요
Audio_105.wav,보안 카드 번호 모두 알고 있기 때문에 개인정보는 모두 알고 있겠지만 본인의 자금을 인출할 수 있는 범죄와 저질러 줄 수도 있고요 근데 그건 뭐 어디서 어디서 어떻게 하는 거예요 그 사람들한테 굉장히 많아요 뭐 네이톤 이라든지 통신사 같은 경우에 KT 카드사 같은 경우는 국민카드 롯데카드
Audio_106.wav,때문에 지금까지 사실 확인서를 연락드렸습니다 이런 사건 때문에 몇 가지 여쭤볼게요 연락 드렸습니다 통화 가능하십니까 어머님께서 혹시 김영호 아는 사람이니까 그런 건 없는데이 사람은 출신이 오래 살 수 있어야 된 남성인데 어른 사람이니까 어디요네 김영호요가 없는데 저희가 9시간 두 계좌를 해당 은행하고 했는데요 버니 메뉴로 개설된게 맞다고 확인받은 상태입니다 지금 본인 명의 통장으로 인해서 재산이 피해자가 발생했기 때문에 본인도 피해자라는 거 입증하지 못하게 되면 본인 앞으로 이루어지는 재산권에 대해서 정보 본인께서 대상을 하셔야 합니다 출발요 이번 사건과 같은 경우 얼마나 보여 얼마인 것이 아니고요 지금 전국에 180명 정도가 인도 되었는데이 중에 피해자가 가해자가 섞여 있는 상태입니다 본인께서 혹시 지금 못 하시게 되면 본인 앞으로 이루어진 배상권 내에서 본인께서 배상하여야 되니까 런닝맨으로 된 통장이 거의 3천만 원 정도로 지금 거래되어 있거든요 혹시 최근 어느 날에 신분증이나 여권 또는 시간 같은 것을 분실하신 적은 있습니까 그럼 일단 본인께서 가해자인지 아니면 뭐가 피해자인지 신고를 받기 위함이 질문을 드리겠습니다 지금부터 전반 조사 과정은 없이 상태를 진행되기 때문에 거짓이나 허위진술을 하시면 안 됩니다네 근데 무슨 무슨 녹취를 저한테 녹차 한다는 얘기도 없이 그냥 하세요 예 선생님 말씀드렸지 않습니까 지금부터 조사 과정은 지금부터입니다 지금부터 조사가 적은 당시 상처를 진행됩니다 만약에 본인께서 불편하시다면 서울중앙지검에 직접 나오셔 가지고 전화 받아도 되겠습니까
Audio_107.wav,수고하십니다 여기는 서울중앙지검이 저는 첨단범죄수사 1팀에 이진호 수사관이 합니다 다름이 아니라 본인 개인정보 유출 사건 관련해서 몇 가지 확인 차 연락 드렸습니다 통화 괜찮으십니까 제가 몇 가지만 여쭤보겠습니다 혹시 혹시 문희경 사람 알고 계십니까 지인을 통해서 들어보신 적도 없으십니까 제가 일단 사건부터 좀 간략하게 말씀드리겠습니다 얼마 전에 저희 수사과 중심으로 한 금융범죄 사기라는 검거했습니다 건강시 현장에서 대량의 체크카드 대포통장이 발견이 됐는데요 그중에 김은정 씨 명의로 된 통장도 두부를 저희가 압수를 했습니다네 저희가 확인했을 때는 경기도 광명시에서 1시간 간격으로 발급이 됐네요 본인은이 두 계좌에서 아시면 있으십니까 우리은행과 하나은행 통장입니다 수사 1팀에서 문희경 중심으로 한 금융범죄 사기란 권고했습니다 이제 그 근거 당시 현장에서 배당이 체크카드와 대포통장 그리고 복사된 신분증 등을 압수를 했는데 그 압수 물품 중에 명의로 된 통장도 저희가 지금 두부를 압수를 한 상태예요 저희가 확인했을 때는 경기도 광명시에서 발급이 되었고 2015년도 8월 14일 날 배설이 됐네요 우리은행 하나은행 통장입니다 부동산 본인이 직접 개설하신 겁니까 작년에 개설하신 겁니까 제가 경찰에 전화해서 확인을 해 볼게요 경찰이 아니고요 검찰청으로 전화 주세요 저희 쪽에서 전반적인 내용을 조사해 본 결과로는 일단 저 같은 경우에는 동일 전과도 없으시고 신분 또한 확실하다고 일차적인 회비가 보이지 않으세요 근데 저희 검찰 수사라는게 저희가 이렇게 심층 하나만으로는 피해자가 가해자다 이렇게 분류를 할 수 없는 상황입니다 그렇기 때문에 일단 피해자 입질 조사가 될 거예요 본인에게 일차적인 혐의점이 없었기 때문에 진행이 되는 거고 추후에 현금이 발견이 된다면 그때는 직접 출석을 하셔서 저희 직원 쪽으로 출석을 하셔서 그때 조사를 받아 주셔야 되는게 현실입니다 이해하셨죠 예 그리고 피해자 입주 조사 전반적인 과정은 녹취로 진행이 됩니다이 녹취는 본인은 대신해서 법원에 제출될 증가 자료이기 때문에 주의 자금이나 본인 아닌 제 3자의 목소리가 섞이게 될 경우에는 증거 자료로서 효력이 효력 발생이 어려운 부분이 있고요 그리고 녹취록을 해서 뭐 크게 별다른 건 없고 아까 제가 드렸던 질문을 그대로 녹취에 담을 겁니다네 개 수산 절차상 하는 거니까 좀 잘해 주시고 별다른게 없고 아까 제가 조금 질문들을 다시 한번 녹차에 담을 겁니다 녹취에 담을 거고 전화를 끝이 나게 되면 담당 검사님 내선 연결을 좀 해 드릴 거예요 본인 앞으로도 예 본인 앞으로 나와 있는 공무원 장도 확인하셔야 될 거고 사건에 대해서 좀 더 상세하게 설명해 주실 겁니다 어떤 식으로 됐고 뭐 어떻게 대처하실 지역은 좀 이해하셨습니까 잠깐만 뭐 자리 좀 피해 주셔서 직장에 계신 거 같은데 전화 좀 받아 주십시오 이제 그럼 빠르게 우선 녹취 먼저 들어가겠습니다 수학이 좀 이상하게 수도 있어요 크게 제가 뭐 적은게 아니니까 음성 녹취 문제 들어가겠습니다
Audio_110.wav,지난 2015년 2월 10일 자로 경기도 광명시 철산동 철산 지점에서 본인 명의로 되어 있는 하나님과 농협은행 통장을 사인으로 개설하신 적이 있습니까 본인께서 직접 계산하겠습니다
Audio_111.wav,주민등록증이나 운전면허증 요건 등을 하니 양도하거나 분실한 적 있으십니까 그러면 요즘에 카드는 카드사에 개인정보에 처리 많이 돼요 그거는 내 피해를 본 사례가 있으십니까 2015년 7월 9일 안에 불법도 봐 금융 사업이다 일단 검사했습니다 아는 부분이 있으십니까 혹시 71년생 45세 남성분이 인대요 강상원의 사람도 지금 전혀 모른다는 말씀이시죠 강자 상자 호텔 광산구요양보호사구인
Audio_112.wav,지난 시간에 박사가 됩니다 예 다름이 아니라 본인과 연주자의 불법 명의 동영상이 검색해서 연락을 드렸고요 분께서 잠시 통화 좀 괜찮으신가요 그러시면 제가 몇 가지 사항에 대해서 여쭤보도록 하겠습니다 본인께서 본인께서 알고 계신 분이신가요 전혀 모르시나요 제가 이렇게 여쭤 보는 이유가 저희 검찰에서 대량의 신용카드와 가장 중요한 건데 은행 통장이 발견되어서 연락을 드린 거예요 본인께서이 통장 개설 내용에 대해서 알고 계신 부분 있으신가요 아니 없거든요 저희가이 통장을 조사해 봤을 때 그 통장은 개설 자체가 작년 날짜로 2018년도 5월 17일 경기도 광명시 철산동 지점에서 개설이 되었고이 통장을 해당 금융감독원과 같이 계산해 봤을 때 본인 아니신가요 확인하고 제가 이렇게 여쭤보는 겁니다 그러면 혹시 뭐 최근에 2 3년 사이에 핸드폰이라 신분증을 뭐 분실하거나 도난 당하신 분 있으신가요 아니 아까 그냥 따로 없으신가요 본인께서 현재 기본 사건에 대해서 궁금해 하실 텐데 간단하게 정리를 해서 말씀을 드리겠습니다 혹시 네이버 측에 진출 중고나라 사이트 알고 계시나요 중고나라 카페 형식으로든 사이트예요 그런데 중고나라 사이트를 통해 고가의 물건을 판매한다고 매물만 대량으로 올려놓고 명의로 된 SC 스탠다드 통장으로 입금 다 유도한지 물건을 보내지 않으셨습니다 이해가 되시나요 진실이 아니라 허위매물로 중고나라에 게시글이 올라와 있을 거 아니에요 몇 번씩 거래요 몇 분 계시거든요 지금 확인해 보려고 하거든요
Audio_113.wav,여보세요 돈이 맞으십니까 서울중앙지검 금융범죄 수사 1팀에 이철균 수사관입니다 그 본인과 연루된 금융범죄 사건 때문에 연락드렸습니다 혹시 통화 가능하십니까 아이 전화는 모두 녹취 상태로 이루어지고 있으니 사실대로 진실해 주
Audio_114.wav,네 장 사장 맞습니까 당사자 보니까 42승 남성 김동술 알고 계십니까 본인 명의로 개설된 통장 날짜가 지점장입니다 2013년 8월 8일 경기도 광명시 철산 지점에서 농협과 하나의 공장을 개설하신 적이 있으십니까 아니요 개설된 2013년부터 현재 사건이 접수된 2015년까지 경기도 광명시에 방문하신이라고 하는 수 있습니까 아니요네 현재 압수된 교통사항 이제 불법 검사 현장에서 압수가 되었기 때문에 지금 현재 동백 처리가 되어 있습니다 고객님께서는 동결 처리가 어떻게 되는지 알고 계십니까 사건에 연루된 금융권 통장이 때문에 이제 금융권 금융감독원에서 두 계좌를 점점 시켰다는 뜻이고요네 본인께서 혹시 그 휴면 계좌가 있으십니까
Audio_115.wav,"서울지방경찰청이 이름이 경제범죄수사과 김범성 영상네 근데요 그 혹시 나이는 81년생 시내 김남철 씨 아시는 관계 있으십니까 아니요 김남주 전용 모르십니까 다름이 아니라요 29일 경 서울시 관악구 일기에서 금융 불법인출 조직 정책 김남철 4명의 공부를 했는데 그 검거 현장에서 김범룡 품은 없었으니까요이 중에 명의로 되시는 SC 텐더 은행 통장과 신분증 사본이 같이 발견되었기 때문에 그이 부분 확인차 연락을 드린 건데요이 과정이 계좌를 통해서 5월 18일부터 5월 20일까지 약 5일간에 걸쳐 총 4,500만 원 정도의 금액이 불법 자금 택하게 사용자의 사실확인서 연락드린 겁니다 혹시 본인께서 직접 계산하시는 분이십니까 손님께서 개설하신 통장이 아니신데 일단 이런 부분에 대해서 본인께서 개발하신 통장이 아니시라 말씀이신데 보통 은행사 측 같은 경우 본인께서 직접 방문을 하셔야지만 계좌가 개설이 되지 않습니까 일단이 부분 사건 조사를 해 보고요 경위서 이제 작성해서 선생님 자택 주소지로 발송해 드릴테니까 한번 확인하시고 서울지방경찰청을 예방 한번 해 주셔야 되시는데 예 알겠습니다"
Audio_116.wav,여보세요 여보세요 아 예 본인 혹시 퍼져 있는 40대 남성 김영국 하고 아시는 분이십니까 전혀 모르시는 분이세요 아 예 저희가 좀 김영국 중심으로 명의도용 및 불법 거래 사기당할 권고하는 과정에서 대량의 신용카드와 대포 통장 신분증 보안카드 등을 납부했습니다 예 증거품으로 확인하는 과정에서 명의로 된 농협과 국민은행 두 개의 통장에 약수가 되었고요 해당 금융권에 제조 회복 결과 본인 명의로 개설되는 통장인가 좀 확인하였습니다 예 압수된 그 본인 명의 대포 통장이 범죄 현장에 사용됨에 따라 많은 피해자들이 발생되었습니다 본인께서 지금이 부분에 대해 피해자를 좀 절차를 밟아 주셔야 고소 고발 건에 대한 조치를 취해야 할 수 있습니다 정확히 이해하셨죠 아 예 일단 본인께서 지금 김현국 입장 제거에 문자 내역이나 전화 내역이 전혀 발견되지 않았기에 일자 조사로 녹취 조사로 진행이 됩니다네 피해자 입증 절차를 통해 본인과 김영국 일당이 전혀 무관하다 증거를 놓기 자료로 남기시는 겁니다네이 녹취 자료는 본인 대신 저희가 1차 공판에 증거 자료를 활용될 것이고요 녹취 조사 중 주변에 소음이 심하게 들리거나 제 3자의 목소리가 본인의 음성보다 크게 들리게 된다면 공판의 법적인 증거 자료로 세팅이 될 수 없습니다 용의 말씀드리면서 녹취 조사 시작하겠습니다네 지금 전화 받은 장소가 어디세요 전화를 받아 주시고요 대답을 좀 크게 해 주세요 그 본인 목소리가 하나도 안 들려 가지고
Audio_121.wav,연락을 드리게 됐고요 금융범죄 사기 사건에 그 선생님 저기 통장 이용이 돼서 그 부분에 대한 확인 취하려고 드린 겁니다 나이들어서 그 양반 이름 어떻게 알아요 한 번이나 누가 아는 사람입니까 바뀐 거지 모른다니까 내가 어떻게 알아요 밥 뭐라고요네 그러세요 지난주 목요일에이 박형규 가장 된 그 금융상의 여덟 명을 체포를 하기로 했는데요 선생님 핸드폰으로 받으시는 거 아닙니까 지금 사무실 전화 걸어 놔서 이것 좀 하세요 아 사건 현장에서 저희가 박현규 과정 중에 압수를 통영 길이 다 수 있는데요 통장이 그 명의로 개선이 된 부분이 있어서이 부분에 대한 본인 확인차 연락을 드리게 됐고요 수사 과정에서 저희가 은행권에 조사를 의뢰했는데이 팀장이 지난 11월에서 11월에 그 서울에서 개설해서 통장으로 사용이 됐고요 천만 원까지 유입된 부분은 저희가 확인을 했는데이 두 개 통장 보이시죠 계산한 거 맞으십니까 아 그런 적이 없는데 통장을 개설하신 적이 없으시다는 얘기니까 아니면 뭐 아니 나는 지금 박충길 그 양반도 모르고 통장을 계산한 적도 없어요 그러시면 아마도 다른 분들과 마찬가지로 개인적으로는 무슨 바쁜가 봐요 이태경 점장입니다 저희가 번역 확인서 연락을 드린 거라 지점장님께 저희가 확인을 해야 될 부분 있으면 연락을 드렸고요 일단은 그 고소가 들어왔기 때문에 절차는 몇 가지만 묶여 있습니다 나도 피해자인데 나한테 뭘 물어요 내가 물어보세요 뭐 뭐 대답해 드리는데요 충전 뭐 내 거 통장을 누가 계산했다 명의로 나도 페이지 아니에요 그 부분에 대해서 이제 워낙에 사건을 수가 하다 보니까 명의가 도움이 돼서 신기한 경우는 분들이 있는가 하면 또 도로는 통장을 사고 팔고 하는 일도 더 있으십니다 그러니까 그 피해자인지 피해자인지 알았습니까
Audio_122.wav,개인 정보가 유출이 돼서 도형을 당하신 피해자분이 그 부분을 다 처리하고 연락드린 겁니다 이해 되십니까 비슷한 거 본인께서 피해자인지 가능한지 그걸 조사하기 위해서 몇 가지 질문 있겠는데요 질문한 전반 조사 과정은 혹시 상태로 진행이 됩니다 따라서 보니까 거짓말하는 시간을 의미가 있으면 안 되시고 그 아시는 내용 있으면 이쪽으로 솔직히 말씀해 주세요 뒤에 혹시 시작해도 될까요 목소리도 좋으면 크게 말씀해 주세요네 본인 확인부터 다시 할게요 당사자 본인이 맞습니까 여보세요 안 되는 부분이 있습니다 보내 드릴게요 그거 확인하시고 저희 쪽 직접 출석하세요
Audio_123.wav,그거를 확인할 수 있는 사건 번호를 불러 주려고 하는 거예요 틀어 주세요 다시 녹음해 놓을게요 2014 형제 2005 김정호 명의도용 사건에 이거 이렇게 됐고요 자 아까 우리하고 농협 하나은행 사용하신다 그랬어요 저희들이 이제 금융감독원이 통보를 할 거예요 왜냐면 계좌가 정확히 맞는지 제가 사용하고 있는 통장에 맞는지 확인을 해야 하고 보호 조치를 해야지 김정호 일당이 그 불법으로 만든 통장 가지고 우리가 또 보조차 할 수는 없는 거 아니에요 예 그래서 인제 묻는 거예요 우리은행에 우리은행 계좌가 몇 개 있어요 입출금 통장 입출금 두 개예요 아 입출금 두 개 농협 농협에 동영상 잘 모르겠어요 두세 개 있는 거 같은데 본인이 사용하는지 만들어 놓고 사용하지 않은 통장은 지급 정지 시켜도 상관은 없잖아요 농협에 하나 있어요 입출금 하나은행은 하나은행은 하나요 하나 있는데 이거는 사용을 안 한다 알겠습니다 이건 뭐 시켜도 뭐 사용 안 하니까 상관없잖아요 지금 사용하는 통장만 보호 조치 해 드리면 되잖아요 나머지는 불법으로 생각을 다 지급 조치하고 지급 정지 시키고 조사하면 되잖아요 저희들이 예 그럼 우리은행 입출금 통장 두 개 있다고 했어요이 최근 사용하고 남은 잔액이 얼마 정도 있을까요 그러면 그 통장이라고 인정해 드릴까요 조선 모르는데 최근 사용하고 통장에 얼마 정도 10만 원 미만 20만 원 미만 뭐 이렇게 말씀하셔도 돼요 20만 원 미만 또 하나 없고 농협은행도 없을 거예요 없어요 그러면 우리은행 통장 입출금 통장에 20만 원 미만 밖에 없다 그 통장만 인정해 드리고 나머지는 지급 정제도 상관이 없다 헤어지는 거죠 예 알겠습니다 일단 금융감독원 해 보고 다시 거짓 나오나 이런 거 확인해 보고요 다시 연락드리겠습니다 선생님이 진짜인지 확인할 수 있는 방법은 그 사이트 들어가서 확인하는 방법밖에 없어요 어떻게이 번호로 전화를 하시든지 근데이 번호가 지금 전국적으로 한 200명이 씨를 봐서 통화가 안 될 수가 있어요 저 같은 사람 200명이나 있다고요 그런 식으로 지금 명의도용으로 통장 압수한게 그렇게 많다고요 지금
Audio_124.wav,명의도용 사건 때문에 몇 가지 사실확인서 연락 드렸거든요 혹시 본인께서이라고 알고 계십니까 모르세요 모르는데요 뭐를 하신다고요 왜냐하면 지금 얼마 전에 저희 검찰에서 주범으로 인한 금융 범죄 사귀자는 근무했는데 지금 근거 당시 현장에서도 대량의 신용카드와 보통 장들이 발견되어 앞서 하였거든요 예 그 중에서 지금 명의로 된 농협이랑 신한은행 통장이 현장에서도 통장으로 사용 중인 걸 저희가 압수수색했습니다 뭐라고요 통장이나 카드가 없다고요 근데 지금 근데 저희가 불법 현장에서 지금 농협이랑 신한은행 통장이 지금 현장에서 발견되었어요 아 그래요 그럼 일단 제가 다시 한번 확인하고 전화 드릴게요 어디라고 하셨어요 서울중앙지검이 지방 중앙직업 예예 아 이준호 수사관입니다 예 예 알겠습니다 다시 연락 주세요 예 일단 한번 확인해 보고 전화 드릴게요네
Audio_125.wav,어디까지 얘기를 했죠 그것도 얘기를 했는데요 명의도용 사건이라고 제가 말씀을 드렸죠 예 그러니까 본인 명의에 그 통장이 발견됐기 때문에 불법 대포통장이 발견됐기 때문에 본인이이 김민수 일당과 공간이 없다라는 것을 하시지 못하신다면 본인한테 1년간 금융제안 조치가 들어갈 수 있어요 거기 때문에 본인이 본점 홈페이지에서 신고하시는게 제일 중요한 상황이고 일단 신고를 하셔야 저희가 접수를 받아서 김민수의 상관관계를 확인을 할 겁니다 저희가 하는게 아니라 금감원에서 계좌 추적 조회를 통해 가지고 이민주 일당과 금전적인 거래가 있는 정황을 저희가 확인을 할 겁니다 그래서 그러한 사항이 없으면 본인은 무고한 피해자가 되시는 거고 만약에 김민수한테 뭐 돈을 진짜 받고 통장을 팔았다 이런 것들이 발견이 되면 개인 변호사를 쓰는 거 하셔 가지고 방문을 하셔야 되는 그런 상황이 되는 겁니다 아시겠죠 서울중앙지방검찰청 들어가시면 본인 앞으로 나와 있는 공문 확인 가능합니다 확인하시고 거기에 따라서 본인이 직접 개인 정보 침해 신고 센터를 통해서 신고를 해 주시라는게 제가 고지 드릴 내용입니다네 예 수고하십시오네 알겠습니다
Audio_126.wav,제 명의로 된 통장 두 개를 발견을 했는데 신한은행이 국민은행으로 확인이 됐고요 본인은 알고 계셨어요 아니요 계산하는게 아니면은 지금 개인 명의가 동행이 된 건데 불법적으로 사용이 되셨어요 일단 저희가 은행하고 비교를 계속해서 여기가 통장으로 확실하게 확인이 됐고 연락을 드린 건데 전혀 모르시는 부분이 맞고요 사건이 사건 개요를 살짝 말씀드릴게요 그러세요 그러면은 주소로 저희가 공문이 소방차 발급해야 될테니까 방문해 주세요 안 하시면은 다음 주 중에 개판이라 법적으로 불이 받으세요
